1000
T Rho Ye Ym Mue Mum Mun Mup Un Up
1.2685123e+01 2.8311296e+13 7.4582905e-02 7.3082804e-02 5.8206126e+01 1.1317944e+02 9.2766587e+02 8.8625211e+02 1.7799183e+01 1.0845368e+01 
2.2954893e+01 7.6051825e+13 1.1699024e-01 8.3336834e-02 9.0785092e+01 1.2080517e+02 9.1779869e+02 8.5739141e+02 5.0389841e+01 3.3600573e+01 
2.6835758e+01 7.2956777e+14 2.4058980e-01 4.5363763e-02 2.8054988e+02 1.8146157e+02 1.0866878e+03 1.0004330e+03 4.5625534e+02 4.3988172e+02 
7.2324505e+00 1.8279175e+12 9.3963444e-02 2.9152112e-02 2.2772772e+01 8.7689502e+01 9.2215763e+02 9.0274040e+02 1.2400999e+00 7.5541779e-01 
2.7429331e+01 1.9930610e+14 2.6380500e-01 7.6821598e-02 1.8041203e+02 1.4484047e+02 9.2247979e+02 8.7564778e+02 1.3167694e+02 1.1167961e+02 
2.5651009e+01 6.2919761e+14 2.4388626e-01 9.3810666e-02 2.6826215e+02 2.1584564e+02 1.0376462e+03 9.7585783e+02 3.9472919e+02 3.7969328e+02 
7.2244821e+00 1.5896891e+12 1.0397249e-01 5.0863966e-02 2.2350615e+01 9.0836688e+01 9.2087871e+02 9.0410967e+02 1.0505227e+00 6.6244768e-01 
5.0687847e+01 4.8594787e+14 2.3907986e-01 8.1251709e-02 2.1828037e+02 1.5507384e+02 9.7401051e+02 8.9805676e+02 3.0796956e+02 2.8675229e+02 
3.3467041e+01 1.1343738e+14 1.6533828e-01 8.8314462e-02 1.1053832e+02 1.1603895e+02 9.0296009e+02 8.3553279e+02 7.5790765e+01 5.5229758e+01 
7.6284709e+00 3.0309231e+12 8.6287528e-02 5.3131622e-02 2.7248819e+01 9.4843079e+01 9.2386526e+02 9.0321416e+02 1.9580540e+00 1.1946509e+00 
6.1134224e+00 1.2302255e+11 2.2239073e-01 5.9358055e-02 8.5109964e+00 7.9839455e+01 9.0930765e+02 9.0210035e+02 8.3045975e-02 6.3677999e-02 
3.8248280e+01 6.8088432e+14 2.3509757e-01 7.0701437e-02 2.6285356e+02 1.8874992e+02 1.0598776e+03 9.7971352e+02 4.2670183e+02 4.1025308e+02 
2.6976116e+01 8.2134445e+14 2.3298369e-01 3.1668887e-02 2.8913290e+02 1.6919917e+02 1.1338114e+03 1.0344077e+03 5.1297337e+02 4.9836345e+02 
5.0570644e+01 2.4855477e+14 2.3033597e-01 5.4152721e-02 1.5720101e+02 8.9987001e+01 9.0442851e+02 8.2013830e+02 1.6587844e+02 1.3736945e+02 
2.8333822e+01 7.4597710e+14 2.3840208e-01 7.9175045e-02 2.8091165e+02 2.1343921e+02 1.0894063e+03 1.0153428e+03 4.6656847e+02 4.5319780e+02 
9.9151917e+00 1.4269595e+13 7.2410166e-02 3.5192470e-02 4.5968715e+01 9.9322277e+01 9.2907162e+02 8.9258793e+02 9.3361274e+00 5.4730845e+00 
2.7201019e+01 1.1191452e+14 1.2920344e-01 8.9598520e-02 1.0644466e+02 1.2857014e+02 9.1741404e+02 8.4797519e+02 7.5864411e+01 5.2802148e+01 
4.7083107e+01 6.7302057e+14 2.3292698e-01 8.7972900e-03 2.5193143e+02 5.9023578e+01 1.0615783e+03 9.4766794e+02 4.2196553e+02 3.9932290e+02 
7.4121695e+00 1.8227659e+12 1.0262662e-01 8.2485242e-02 2.3475465e+01 9.4976623e+01 9.2064426e+02 9.0511141e+02 1.1546018e+00 7.4879378e-01 
5.3692413e+01 4.0484996e+14 2.3453531e-01 7.6640676e-02 1.9542500e+02 1.3286753e+02 9.4404695e+02 8.6349699e+02 2.5920073e+02 2.3470147e+02 
3.7851429e+01 1.3726287e+14 2.6220983e-01 4.4774701e-02 1.4287320e+02 8.5028128e+01 8.9538208e+02 8.3649932e+02 9.0561052e+01 7.1456086e+01 
2.8588030e+01 5.1339033e+14 2.4877471e-01 7.5905125e-02 2.4936579e+02 1.8830455e+02 9.9722163e+02 9.3289460e+02 3.2440554e+02 3.0464493e+02 
9.9875450e+00 1.3541845e+13 7.3776692e-02 5.8970494e-02 4.5228766e+01 1.0459726e+02 9.2797372e+02 8.9477133e+02 8.4667526e+00 5.0541909e+00 
4.7863365e+01 3.7983251e+14 2.4593338e-01 6.3736782e-02 2.0202207e+02 1.2961709e+02 9.4331646e+02 8.6639561e+02 2.4392425e+02 2.1872188e+02 
2.8970984e+01 5.6589575e+13 1.8106222e-01 9.4061565e-02 8.7839673e+01 1.0228327e+02 8.9260107e+02 8.4567480e+02 3.5008777e+01 2.5657287e+01 
6.9038811e+00 5.9211684e+11 1.3368016e-01 3.8347961e-02 1.5371265e+01 8.3037364e+01 9.1572888e+02 9.0232670e+02 4.0841033e-01 2.7004745e-01 
5.4476231e+01 5.1804463e+14 2.3264122e-01 3.2351192e-02 2.1674532e+02 9.2911535e+01 9.9008090e+02 8.8546889e+02 3.2860252e+02 3.0175055e+02 
5.3954167e+00 1.6621552e+11 1.7433596e-01 1.5652399e-02 1.0177823e+01 7.8363232e+01 9.1612983e+02 9.0659017e+02 1.1657883e-01 7.9514483e-02 
2.0544956e+01 4.4228117e+14 2.6162019e-01 6.0997030e-02 2.4577855e+02 1.7790239e+02 9.7851458e+02 9.1845595e+02 2.8140871e+02 2.5950807e+02 
3.1358776e+01 8.2479285e+13 1.7033026e-01 4.6474706e-02 9.8893270e+01 8.4751364e+01 9.0076527e+02 8.3141485e+02 5.5278608e+01 3.7967605e+01 
2.7182478e+01 4.3407951e+13 1.8617010e-01 5.0571105e-02 8.0491353e+01 7.8960125e+01 8.9409257e+02 8.4373879e+02 2.7427966e+01 1.9137753e+01 
4.5452591e+01 1.7553761e+14 2.1628964e-01 5.0148602e-02 1.3492734e+02 8.1158764e+01 8.9636338e+02 8.1301282e+02 1.2034423e+02 9.3128536e+01 
4.6224808e+01 2.4487278e+14 2.4938700e-01 4.5405764e-02 1.6886232e+02 9.0670232e+01 9.1109768e+02 8.3420011e+02 1.6459267e+02 1.3741132e+02 
4.6849373e+01 2.1380408e+14 2.4315168e-01 4.9514156e-02 1.5552162e+02 8.6650548e+01 9.0221343e+02 8.2517540e+02 1.4524401e+02 1.1872518e+02 
2.4022110e+01 3.6261838e+14 2.6130873e-01 1.9772544e-02 2.2704379e+02 1.2272210e+02 9.6206892e+02 8.8951136e+02 2.3477392e+02 2.0550971e+02 
1.5778297e+01 3.5008788e+13 9.3064718e-02 7.9405280e-02 6.5821906e+01 1.1315732e+02 9.2247377e+02 8.7778401e+02 2.1999608e+01 1.3891500e+01 
4.0134514e+01 2.1521267e+14 1.6732408e-01 9.1905543e-03 1.3959099e+02 3.6867321e+01 9.2653342e+02 8.0908619e+02 1.5027275e+02 1.0875952e+02 
5.2403214e+01 3.8726512e+14 2.3766856e-01 7.0753483e-02 1.9446348e+02 1.2755324e+02 9.4035323e+02 8.5978045e+02 2.4861028e+02 2.2337271e+02 
2.4703745e+01 7.1679944e+14 2.4235877e-01 5.1958514e-02 2.8078445e+02 1.8994548e+02 1.0801825e+03 9.9845404e+02 4.4849820e+02 4.3236930e+02 
2.8202505e+01 6.9968802e+14 2.3770154e-01 4.5071715e-02 2.7438732e+02 1.7735343e+02 1.0741608e+03 9.8729435e+02 4.3832530e+02 4.2060811e+02 
3.1139801e+01 5.7438671e+14 2.4378961e-01 7.4064869e-02 2.5590072e+02 1.9035969e+02 1.0184734e+03 9.4890016e+02 3.6168454e+02 3.4299634e+02 
2.5780586e+01 2.2710965e+14 2.6352215e-01 2.4707553e-02 1.9089670e+02 1.1130078e+02 9.3462025e+02 8.7158341e+02 1.5290994e+02 1.2530729e+02 
