1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
1.025000000000000000e+06 3.748216339689503518e-01 6.649865540543270312e+13 6.764586926279754664e+00 2.476495518125371165e-01 1.029413189307560130e-06 6.210931803292485398e+01 4.437634304218136094e+01 9.382673791217725920e+02 9.163461885263665181e+02 1.599047102911278095e+01 2.401116781199970351e-01 9.027960757193906147e+02 9.150528455475722467e+02 7.705237714007481031e+00 8.359265492739341788e-03
1.075000000000000000e+06 3.935909636759007957e-01 5.138878462778896875e+13 6.766417984232843352e+00 2.679166165093705976e-01 2.815819812951464040e-07 5.617359168104994893e+01 3.384130036147976739e+01 9.364993329451273212e+02 9.232015686383336970e+02 1.106237123943326672e+01 2.237087791143153870e-01 9.068383346689507789e+02 9.219082292835691987e+02 5.238385037065629746e+00 1.093753682344231377e-02
1.125000000000000000e+06 4.092644834440016810e-01 3.918302874645081250e+13 7.151189221297499898e+00 2.817551308945188682e-01 1.416993543866658991e-07 4.933220752529580011e+01 2.227571622691384334e+01 9.349824005344976285e+02 9.244982224621452360e+02 1.003308677524295334e+01 2.733625529200828796e-01 9.099959298207139682e+02 9.232048791777223187e+02 5.614906622567302108e+00 2.355808526539578118e-02
1.175000000000000000e+06 4.249651957784232881e-01 3.598157214621738281e+13 6.984679406974217741e+00 2.626271908013413370e-01 1.435814725379710184e-07 4.509095491669226163e+01 2.397763136731043687e+01 9.355661356258895012e+02 9.241728652629009275e+02 1.033111249590275627e+01 3.141498818494855572e-01 9.095552497805019811e+02 9.228795276607503411e+02 5.809162430314311010e+00 2.286707175945489404e-02
1.225000000000000000e+06 4.420949709220829971e-01 3.611735987121538281e+13 5.740181811923648070e+00 2.505308139961546776e-01 8.701969952667717315e-08 4.446916373543572831e+01 3.748332077966387033e+01 9.371933274305217765e+02 9.274188616421786264e+02 8.207102642744761312e+00 2.537953836892228865e-01 9.082454187481215513e+02 9.261255217819040126e+02 3.554473853967291319e+00 6.323581676269750262e-03
1.275000000000000000e+06 4.564282707986112575e-01 2.789731005626665625e+13 5.630285677269578848e+00 2.738200706195457745e-01 2.296200414728213058e-08 4.028929588777327808e+01 3.000697094960372624e+01 9.359377727419305302e+02 9.306879706674981207e+02 5.924861290563910643e+00 2.411254418215132700e-01 9.113606693021945375e+02 9.293946310716879680e+02 2.577331786846052353e+00 8.725820895866411020e-03
1.325000000000000000e+06 4.686406175502622617e-01 2.200918100578250000e+13 5.762828004260430959e+00 2.874189428226325282e-01 9.118648136555133679e-09 3.592010432768525163e+01 2.132371461623722553e+01 9.348614298732351244e+02 9.318542551479766871e+02 5.113864614420808863e+00 2.651874561747743497e-01 9.136323911549648074e+02 9.305609156019389729e+02 2.549710101770122250e+00 1.562837125832866256e-02
1.375000000000000000e+06 4.800418312807633869e-01 1.908016836042784766e+13 5.760853240303677403e+00 2.807413892287031199e-01 1.209006492405556389e-08 3.243116500082788178e+01 2.215796465964841389e+01 9.347380399656410646e+02 9.320197709387821305e+02 4.997772827764948467e+00 3.019618294300162042e-01 9.141357877154199514e+02 9.307264380438834905e+02 2.678600890035399473e+00 1.889757836775805139e-02
1.425000000000000000e+06 4.912331154679416279e-01 1.743759983993070703e+13 5.456307737196065766e+00 2.720126547302215148e-01 1.145842288990813008e-08 3.020540617378682668e+01 2.626127885734567258e+01 9.350959373256705476e+02 9.326557724632244799e+02 4.569858503138057415e+00 3.062927454750012934e-01 9.140678869580588071e+02 9.313624355900470846e+02 2.305784824033131564e+00 1.480418478991655379e-02
1.475000000000000000e+06 5.013845800042316947e-01 1.476322276136008594e+13 5.433933627497625984e+00 2.733714275210296640e-01 8.231931334398693025e-09 2.728267872096257562e+01 2.392116933111080357e+01 9.346754300288325794e+02 9.332718564878679217e+02 4.148417827224131216e+00 3.296769569850825921e-01 9.149509306792793950e+02 9.319785161200572929e+02 2.214770274276982143e+00 1.850019002252709793e-02
1.525000000000000000e+06 5.103104342528836934e-01 1.214357656149058789e+13 5.569024609898926670e+00 2.788912135943373838e-01 1.255462310075870450e-08 2.427269386360689296e+01 2.293262837774103957e+01 9.337872731648277522e+02 9.338480713656504122e+02 3.744570863248555703e+00 3.608527784931118698e-01 9.157764415572656844e+02 9.325547304224299978e+02 2.162885440826266326e+00 2.715505860130469282e-02
1.575000000000000000e+06 5.181043433970715650e-01 9.941015117631896484e+12 5.987077045136591558e+00 2.868949604547328391e-01 2.512082096142520598e-08 2.134388497878506286e+01 1.899473682919754935e+01 9.320425656246651442e+02 9.343290921475087316e+02 3.383774989197008143e+00 3.932531685245631570e-01 9.157321281188092144e+02 9.330357544857281482e+02 2.065384857634278148e+00 4.406356491581707446e-02
1.625000000000000000e+06 5.251060378018458374e-01 8.389439234207460938e+12 6.359143074762228842e+00 2.910772985578531369e-01 5.991900818413535219e-08 1.881248141125976758e+01 1.744327471906005655e+01 9.303795640038855481e+02 9.347228390257284900e+02 3.090922612821965565e+00 4.202486813633740104e-01 9.152434282681158493e+02 9.334294946355652201e+02 1.954863930956488360e+00 6.173689566095603293e-02
1.675000000000000000e+06 5.314198046212041948e-01 7.120253031944768555e+12 6.779867358837939229e+00 2.950769022669013086e-01 1.301847893749745238e-07 1.637717962301293184e+01 1.512242735217904510e+01 9.284670975561000432e+02 9.350641982731136750e+02 2.833034233481158015e+00 4.468361385543134778e-01 9.143495270346135158e+02 9.337708541620704636e+02 1.859739890207405821e+00 8.265188155861898089e-02
1.725000000000000000e+06 5.371730491174250277e-01 6.117460073681656250e+12 7.158670230481067875e+00 2.979349497708462247e-01 2.795485856740618189e-07 1.412505623126372889e+01 1.387082249044705407e+01 9.266128680913062681e+02 9.353782608464034638e+02 2.603949699161642872e+00 4.715307332883372227e-01 9.132784902736755157e+02 9.340849201518865357e+02 1.762959226266679558e+00 1.034043482018520976e-01
1.775000000000000000e+06 5.424692633823400278e-01 5.318698149449143555e+12 7.524636165971563706e+00 2.999187718727684415e-01 5.493001998840521608e-07 1.201293351179450930e+01 1.271086365575546040e+01 9.247643715740396146e+02 9.356544383149994246e+02 2.407199104293410663e+00 4.955059305130594671e-01 9.120197602819189342e+02 9.343610964422528014e+02 1.673161038892306607e+00 1.240101501365279274e-01
1.825000000000000000e+06 5.474053262275072607e-01 4.689121161423418945e+12 7.822213075456447839e+00 3.009971839471443089e-01 9.642957716104378359e-07 1.012016329861368824e+01 1.207071371466183507e+01 9.231059292672832726e+02 9.359179647647566753e+02 2.227334170357925025e+00 5.153574325061643924e-01 9.107671468433877635e+02 9.346246217534973084e+02 1.577800972189584705e+00 1.407924936864803078e-01
1.875000000000000000e+06 5.520484070015272415e-01 4.178690507787766113e+12 8.083363843271015980e+00 3.018862570061632833e-01 1.563269358575564971e-06 8.395868328845731199e+00 1.158431323520738943e+01 9.215607177563756522e+02 9.361577929039171977e+02 2.068373652832930620e+00 5.326409042495362511e-01 9.095384120264625381e+02 9.348644573425433464e+02 1.487419493497520229e+00 1.558206951913068128e-01
