1000
T Rho Ye Ym Mue Mum Mun Mup Un Up M*n M*p
8.6796341e+00 7.4031668e+12 7.4037224e-02 1.9305086e-02 3.6378889e+01 9.0301484e+01 9.2757195e+02 8.9601743e+02 4.9845329e+00 2.9036740e+00 9.3207569e+02 9.3078235e+02 
6.0848927e+00 5.2638623e+11 1.2932509e-01 9.6778481e-02 1.5458646e+01 9.2004344e+01 9.1842140e+02 9.0857832e+02 3.4489665e-01 2.4030681e-01 9.3899557e+02 9.3770224e+02 
1.2553219e+01 3.0823533e+13 7.1239695e-02 3.4137770e-02 5.9337192e+01 1.0262547e+02 9.2989146e+02 8.8146153e+02 2.0858140e+01 1.2281628e+01 9.0969218e+02 9.0839884e+02 
3.0669460e+01 7.8800221e+14 2.3497553e-01 8.8968829e-02 2.8341996e+02 2.2256280e+02 1.1070935e+03 1.0338348e+03 4.9220353e+02 4.8049395e+02 4.6215032e+02 4.6085699e+02 
2.9027397e+01 7.9285694e+14 2.3445635e-01 7.1354789e-02 2.8491022e+02 2.1001944e+02 1.1124617e+03 1.0316887e+03 4.9509234e+02 4.8228499e+02 4.6006673e+02 4.5877339e+02 
3.8412384e+01 1.0816828e+14 2.0713520e-01 7.3756463e-02 1.1271104e+02 9.4674266e+01 8.8762018e+02 8.2418796e+02 7.1316182e+01 5.3775708e+01 8.4356717e+02 8.4227383e+02 
3.5109406e+01 1.4150500e+14 2.6385894e-01 4.2075886e-02 1.4900791e+02 9.0987945e+01 9.0216721e+02 8.4463991e+02 9.3390533e+01 7.3699097e+01 8.1555701e+02 8.1426368e+02 
2.2543726e+01 4.6802137e+13 1.3533516e-01 1.7492420e-02 7.8128741e+01 6.8095612e+01 9.1219818e+02 8.4905484e+02 3.1703364e+01 1.9928064e+01 8.9508067e+02 8.9378733e+02 
5.6584816e+01 3.8003605e+14 2.2512166e-01 9.6224454e-02 1.8165412e+02 1.3795202e+02 9.3015446e+02 8.5280077e+02 2.4359953e+02 2.1994125e+02 6.6062826e+02 6.5933492e+02 
2.8526342e+01 7.4902129e+14 2.3810109e-01 2.4779810e-02 2.8106753e+02 1.5144543e+02 1.0990887e+03 1.0016296e+03 4.6845163e+02 4.5098029e+02 4.7708877e+02 4.7579544e+02 
1.4429456e+01 1.3186905e+13 1.2329766e-01 3.7155623e-02 4.9502113e+01 8.5880918e+01 9.1507499e+02 8.7870965e+02 8.4434898e+00 5.3244457e+00 9.2681007e+02 9.2551673e+02 
7.0416069e+00 1.4421008e+12 9.8741047e-02 6.9671094e-02 2.1000530e+01 9.3119119e+01 9.2082889e+02 9.0539910e+02 9.4185503e-01 6.0254611e-01 9.3807005e+02 9.3677670e+02 
9.1962185e+00 6.5273159e+12 8.5497998e-02 7.0735959e-02 3.5968974e+01 1.0021843e+02 9.2403552e+02 8.9894448e+02 4.0169593e+00 2.4703587e+00 9.3340113e+02 9.3210779e+02 
6.6807055e+00 8.9116652e+11 1.1881900e-01 7.5346850e-02 1.8533906e+01 9.1541007e+01 9.1906282e+02 9.0645826e+02 5.8479044e-01 3.8956965e-01 9.3861947e+02 9.3732613e+02 
3.8199108e+01 7.1477564e+14 2.3372766e-01 6.9323802e-02 2.6715562e+02 1.9067994e+02 1.0748498e+03 9.9257877e+02 4.4727498e+02 4.3171669e+02 4.9413857e+02 4.9284523e+02 
1.8613768e+01 4.4516172e+14 2.6383510e-01 4.6591355e-02 2.4804438e+02 1.6822541e+02 9.8122866e+02 9.1748258e+02 2.8351761e+02 2.6015528e+02 6.0978214e+02 6.0848881e+02 
4.9290886e+01 2.8743069e+14 1.9483845e-01 9.4997810e-04 1.5747745e+02 2.9027913e+00 9.2858920e+02 8.0245298e+02 1.9247723e+02 1.5057038e+02 7.1240014e+02 7.1110680e+02 
3.5241066e+01 7.8112319e+13 2.2030570e-01 3.7176964e-02 1.0311669e+02 6.3580099e+01 8.8632647e+02 8.2452563e+02 5.0944084e+01 3.6870109e+01 8.6907243e+02 8.6777909e+02 
2.4581932e+01 7.1178164e+14 2.3842345e-01 6.1901832e-02 2.7856402e+02 1.9930594e+02 1.0772339e+03 9.9817767e+02 4.4550843e+02 4.2970665e+02 4.8881706e+02 4.8752372e+02 
1.9693878e+01 5.1049814e+14 2.5977853e-01 4.5846220e-02 2.5814177e+02 1.7233131e+02 1.0009821e+03 9.3270864e+02 3.2308030e+02 3.0107029e+02 5.7646278e+02 5.7516944e+02 
2.3880249e+01 3.2609011e+13 1.7164448e-01 1.8917256e-02 7.1490054e+01 5.6347410e+01 9.0001695e+02 8.4730999e+02 2.1208128e+01 1.3981283e+01 9.0865802e+02 9.0736467e+02 
